Course ID,Course Name,Judul Modul/Tutorial
14,Belajar Fundamental Aplikasi Android,Materi Android Fundamental
14,Belajar Fundamental Aplikasi Android,Pengenalan Dasar Pengembangan Aplikasi Android
14,Belajar Fundamental Aplikasi Android,Ringkasan Pengenalan Android Studio
14,Belajar Fundamental Aplikasi Android,Ringkasan Activity
14,Belajar Fundamental Aplikasi Android,Ringkasan XML
14,Belajar Fundamental Aplikasi Android,Ringkasan Intent
14,Belajar Fundamental Aplikasi Android,Ringkasan Debugging
14,Belajar Fundamental Aplikasi Android,Ringkasan View dan ViewGroup
14,Belajar Fundamental Aplikasi Android,Ringkasan Style dan Theme
14,Belajar Fundamental Aplikasi Android,Ringkasan RecyclerView
14,Belajar Fundamental Aplikasi Android,Ringkasan Library & ViewBinding
14,Belajar Fundamental Aplikasi Android,Rangkuman Dasar Pengembangan Aplikasi Android
14,Belajar Fundamental Aplikasi Android,Knowledge Check : Dasar Pengembangan Aplikasi Android
14,Belajar Fundamental Aplikasi Android,Pengenalan Fragment
14,Belajar Fundamental Aplikasi Android,Teori Fragment
14,Belajar Fundamental Aplikasi Android,Latihan Fragment di Activity
14,Belajar Fundamental Aplikasi Android,Latihan Flexible Fragment di Satu Activity
14,Belajar Fundamental Aplikasi Android,Latihan Mengirim Data Antar Fragment
14,Belajar Fundamental Aplikasi Android,Rangkuman Fragment
14,Belajar Fundamental Aplikasi Android,Knowledge Check : Fragment
14,Belajar Fundamental Aplikasi Android,Pengenalan Navigation
14,Belajar Fundamental Aplikasi Android,Teori Navigation Component
14,Belajar Fundamental Aplikasi Android,"Latihan Navigation Graph, SafeArg, Pop Up Behaviour dan Animation"
14,Belajar Fundamental Aplikasi Android,"Teori AppBar, Navigation Drawer, Bottom Navigation dan Tab Layout"
14,Belajar Fundamental Aplikasi Android,Latihan Option Menu pada AppBar
14,Belajar Fundamental Aplikasi Android,Latihan SearchBar dan SearchView
14,Belajar Fundamental Aplikasi Android,Latihan Navigation Drawer dengan NavigationComponent
14,Belajar Fundamental Aplikasi Android,Latihan Bottom Navigation dengan NavigationComponent
14,Belajar Fundamental Aplikasi Android,Latihan Tab Layout dengan ViewPager2
14,Belajar Fundamental Aplikasi Android,Rangkuman Navigation
14,Belajar Fundamental Aplikasi Android,Knowledge Check : Navigation
14,Belajar Fundamental Aplikasi Android,Pengenalan Background Thread dan Networking
14,Belajar Fundamental Aplikasi Android,Teori Background Thread
14,Belajar Fundamental Aplikasi Android,Latihan Simulasi Proses Asynchronous dengan Background Thread
14,Belajar Fundamental Aplikasi Android,Teori Koneksi ke Web API & Parsing JSON
14,Belajar Fundamental Aplikasi Android,Latihan Networking dengan LoopJ & Parsing JSON
14,Belajar Fundamental Aplikasi Android,Teori Retrofit
14,Belajar Fundamental Aplikasi Android,Latihan Networking dengan Retrofit
14,Belajar Fundamental Aplikasi Android,Rangkuman Background Thread dan Networking
14,Belajar Fundamental Aplikasi Android,Knowledge Check : Background Process dan Networking
14,Belajar Fundamental Aplikasi Android,Modern Android Development
14,Belajar Fundamental Aplikasi Android,Pengenalan Android Jetpack
14,Belajar Fundamental Aplikasi Android,Komponen Android Jetpack
14,Belajar Fundamental Aplikasi Android,Pengenalan Android Architecture Component
14,Belajar Fundamental Aplikasi Android,Teori ViewModel dan Lifecycle
14,Belajar Fundamental Aplikasi Android,Latihan ViewModel
14,Belajar Fundamental Aplikasi Android,Teori LiveData
14,Belajar Fundamental Aplikasi Android,Latihan LiveData
14,Belajar Fundamental Aplikasi Android,Latihan LiveData dengan API
14,Belajar Fundamental Aplikasi Android,Latihan LiveData dengan Single Event
14,Belajar Fundamental Aplikasi Android,Teori Android KTX (Kotlin)
14,Belajar Fundamental Aplikasi Android,Latihan Activity KTX dan Fragment KTX
14,Belajar Fundamental Aplikasi Android,Rangkuman Android Architecture Component
14,Belajar Fundamental Aplikasi Android,Knowledge Check : Android Architecture Component
14,Belajar Fundamental Aplikasi Android,Submission Awal : Aplikasi Dicoding Event (Navigation dan API)
14,Belajar Fundamental Aplikasi Android,Pengenalan Testing
14,Belajar Fundamental Aplikasi Android,Teori Unit Test
14,Belajar Fundamental Aplikasi Android,Latihan Unit Test Menggunakan JUnit dan Mockito
14,Belajar Fundamental Aplikasi Android,Teori UI Test dengan Espresso
14,Belajar Fundamental Aplikasi Android,Latihan UI Test Menggunakan Espresso
14,Belajar Fundamental Aplikasi Android,Rangkuman Testing
14,Belajar Fundamental Aplikasi Android,Knowledge Check : Testing
14,Belajar Fundamental Aplikasi Android,Pengenalan Local Data Persistent
14,Belajar Fundamental Aplikasi Android,Teori File Storage
14,Belajar Fundamental Aplikasi Android,Latihan Menyimpan dan Membuka File
14,Belajar Fundamental Aplikasi Android,Teori SharedPreferences
14,Belajar Fundamental Aplikasi Android,Latihan Menyimpan Data dengan SharedPreferences
14,Belajar Fundamental Aplikasi Android,Latihan Membuat Halaman Setting dengan dengan PreferenceScreen
14,Belajar Fundamental Aplikasi Android,Teori DataStore
14,Belajar Fundamental Aplikasi Android,Latihan Menyimpan Data dengan DataStore
14,Belajar Fundamental Aplikasi Android,Dasar SQL (Structured Query Language)
14,Belajar Fundamental Aplikasi Android,Teori SQLite
14,Belajar Fundamental Aplikasi Android,Latihan Membuat Aplikasi Catatan dengan SQLite
14,Belajar Fundamental Aplikasi Android,Teori Room
14,Belajar Fundamental Aplikasi Android,Latihan Room
14,Belajar Fundamental Aplikasi Android,Teori Repository
14,Belajar Fundamental Aplikasi Android,Teori Injection
14,Belajar Fundamental Aplikasi Android,Latihan Repository dan Injection
14,Belajar Fundamental Aplikasi Android,Rangkuman Local Data Persistent
14,Belajar Fundamental Aplikasi Android,Knowledge Check : Local Data Persistent
14,Belajar Fundamental Aplikasi Android,Pengenalan Background Task dan Scheduler
14,Belajar Fundamental Aplikasi Android,Teori BroadcastReceiver
14,Belajar Fundamental Aplikasi Android,Latihan BroadcastReceiver dari Event SMS
14,Belajar Fundamental Aplikasi Android,Latihan BroadcastReceiver dari Custom Event
14,Belajar Fundamental Aplikasi Android,Teori Notification
14,Belajar Fundamental Aplikasi Android,Latihan Notification dengan NotificationBuilder & NotificatonManager
14,Belajar Fundamental Aplikasi Android,Latihan Notification dengan PendingIntent
14,Belajar Fundamental Aplikasi Android,Teori Task dan Back Stack
14,Belajar Fundamental Aplikasi Android,Latihan Task dan Back Stack dengan TaskStackBuilder
14,Belajar Fundamental Aplikasi Android,Teori AlarmManager
14,Belajar Fundamental Aplikasi Android,Latihan One Time AlarmManager
14,Belajar Fundamental Aplikasi Android,Latihan Repeating AlarmManager
14,Belajar Fundamental Aplikasi Android,Latihan Membatalkan AlarmManager
14,Belajar Fundamental Aplikasi Android,Teori WorkManager
14,Belajar Fundamental Aplikasi Android,Latihan Scheduler dengan WorkManager
